Date,NH3NMBR,NH3NMBR_rolling_mean_7,NH3NMBR_rolling_std_7,NH3NMBR_rolling_mean_14,NH3NMBR_rolling_std_14,NH3NMBR_rolling_mean_30,NH3NMBR_rolling_std_30
2021/1/1,4.54,4.54,,4.54,,4.54,
2021/1/2,4.65,4.595,0.077781746,4.595,0.077781746,4.595,0.077781746
2021/1/3,4.56,4.583333333,0.058594653,4.583333333,0.058594653,4.583333333,0.058594653
2021/1/4,4.45,4.55,0.082056891,4.55,0.082056891,4.55,0.082056891
2021/1/5,4.31,4.502,0.128724512,4.502,0.128724512,4.502,0.128724512
2021/1/6,4.54,4.508333333,0.116175155,4.508333333,0.116175155,4.508333333,0.116175155
2021/1/7,4.64,4.527142857,0.117148664,4.527142857,0.117148664,4.527142857,0.117148664
2021/1/8,4.51,4.522857143,0.117148664,4.525,0.108627805,4.525,0.108627805
2021/1/9,4.23,4.462857143,0.145340323,4.492222222,0.141401713,4.492222222,0.141401713
2021/1/10,4.21,4.412857143,0.165198294,4.464,0.160429978,4.464,0.160429978
2021/1/11,4.31,4.392857143,0.168395792,4.45,0.159122594,4.45,0.159122594
2021/1/12,4.21,4.378571429,0.180409587,4.43,0.166787835,4.43,0.166787835
2021/1/13,4.7,4.401428571,0.211693849,4.450769231,0.176373729,4.450769231,0.176373729
2021/1/14,4.5,4.381428571,0.190999875,4.454285714,0.169964444,4.454285714,0.169964444
2021/1/15,4.4,4.365714286,0.183017043,4.444285714,0.168646845,4.450666667,0.164380511
2021/1/16,4.6,4.418571429,0.190563075,4.440714286,0.16443209,4.46,0.163135935
2021/1/17,4.54,4.465714286,0.170084013,4.439285714,0.163399665,4.464705882,0.159142925
2021/1/18,4.32,4.467142857,0.168593622,4.43,0.166410059,4.456666667,0.158113883
2021/1/19,4.35,4.487142857,0.138649953,4.432857143,0.164523955,4.451052632,0.155595442
2021/1/20,4.2,4.415714286,0.139505931,4.408571429,0.172397445,4.4385,0.161515031
2021/1/21,4.1,4.358571429,0.176297908,4.37,0.176983267,4.422380952,0.173893783
2021/1/22,4.35,4.351428571,0.17534999,4.358571429,0.17235282,4.419090909,0.170403138
2021/1/23,4.12,4.282857143,0.154565443,4.350714286,0.180957466,4.406086957,0.177782787
2021/1/24,4.01,4.207142857,0.136346897,4.336428571,0.199830973,4.389583333,0.191753446
2021/1/25,4.21,4.191428571,0.127204372,4.329285714,0.202616131,4.3824,0.191121253
2021/1/26,4.5,4.212857143,0.165299152,4.35,0.20429993,4.386923077,0.18867473
2021/1/27,6.2,4.498571429,0.768232356,4.457142857,0.532186037,4.454074074,0.394941663
2021/1/28,7.9,5.041428571,1.465667409,4.7,1.063651186,4.577142857,0.757817808
2021/1/29,7.8,5.534285714,1.747396703,4.942857143,1.341694844,4.688275862,0.95495725
2021/1/30,6.5,5.874285714,1.655474324,5.078571429,1.399207782,4.748666667,0.994941458
2021/1/31,6.4,6.215714286,1.439234254,5.211428571,1.432055312,4.810666667,1.038490062
2021/2/1,7.5,6.685714286,1.19083804,5.438571429,1.528719208,4.905666667,1.147881657
2021/2/2,6.3,6.942857143,0.754668013,5.577857143,1.510635009,4.963666667,1.173487238
2021/2/3,6.1,6.928571429,0.771825295,5.713571429,1.461888174,5.018666667,1.187169143
2021/2/4,6.7,6.757142857,0.642539604,5.899285714,1.405185256,5.098333333,1.217770952
2021/2/5,6.5,6.571428571,0.449867705,6.052857143,1.338756188,5.163666667,1.239172369
2021/2/6,6.3,6.542857143,0.461364436,6.208571429,1.217979772,5.219,1.25197871
2021/2/7,5.9,6.471428571,0.521901286,6.343571429,1.048497879,5.265333333,1.250555003
2021/2/8,5.8,6.228571429,0.319970237,6.457142857,0.870644576,5.317666667,1.238527166
2021/2/9,5.55,6.121428571,0.406055356,6.532142857,0.721538725,5.362333333,1.221244937
2021/2/10,8.5,6.464285714,0.98518792,6.696428571,0.883712511,5.502,1.331373157
2021/2/11,9.3,6.835714286,1.463077318,6.796428571,1.08636024,5.671666667,1.477369711
2021/2/12,7.7,7.007142857,1.4872874,6.789285714,1.079561622,5.771666667,1.510492232
2021/2/13,4.31,6.722857143,1.801894506,6.632857143,1.267082831,5.765333333,1.516394847
2021/2/14,4.21,6.481428571,2.02937945,6.476428571,1.423563282,5.759,1.522677655
2021/2/15,4.7,6.324285714,2.13098457,6.276428571,1.464789862,5.762333333,1.520160344
2021/2/16,4.5,6.174285714,2.229258899,6.147857143,1.539646206,5.761,1.521286547
2021/2/17,4.4,5.588571429,2.047571151,6.026428571,1.609178515,5.763666667,1.518741501
2021/2/18,4.6,4.917142857,1.238422576,5.876428571,1.639158354,5.772,1.511385297
2021/2/19,4.54,4.465714286,0.170084013,5.736428571,1.665295572,5.783333333,1.500425993
2021/2/20,4.32,4.467142857,0.168593622,5.595,1.697517418,5.790666667,1.492431327
2021/2/21,4.35,4.487142857,0.138649953,5.484285714,1.726395597,5.790666667,1.492431327
2021/2/22,4.2,4.415714286,0.139505931,5.37,1.756583222,5.793333333,1.489411671
2021/2/23,4.1,4.358571429,0.176297908,5.266428571,1.787626734,5.796333333,1.485782003
2021/2/24,4.35,4.351428571,0.17534999,4.97,1.536644696,5.801,1.480839347
2021/2/25,4.12,4.282857143,0.154565443,4.6,0.90950536,5.788333333,1.493918899
2021/2/26,4.01,4.207142857,0.136346897,4.336428571,0.199830973,5.715333333,1.526265972
2021/2/27,4.21,4.191428571,0.127204372,4.329285714,0.202616131,5.592333333,1.492446922
2021/2/28,4.5,4.212857143,0.165299152,4.35,0.20429993,5.482333333,1.444978662
2021/3/1,6.2,4.498571429,0.768232356,4.457142857,0.532186037,5.472333333,1.43871754
2021/3/2,7.9,5.041428571,1.465667409,4.7,1.063651186,5.522333333,1.496954802
2021/3/3,7.8,5.534285714,1.747396703,4.942857143,1.341694844,5.532333333,1.511552487
2021/3/4,6.5,5.874285714,1.655474324,5.078571429,1.399207782,5.539,1.51549093
2021/3/5,6.4,6.215714286,1.439234254,5.211428571,1.432055312,5.549,1.520302488
2021/3/6,7.5,6.685714286,1.19083804,5.438571429,1.528719208,5.575666667,1.547952337
2021/3/7,6.3,6.942857143,0.754668013,5.577857143,1.510635009,5.569,1.544260452
2021/3/8,6.1,6.928571429,0.771825295,5.713571429,1.461888174,5.562333333,1.541424964
2021/3/9,6.7,6.757142857,0.642539604,5.899285714,1.405185256,5.589,1.554333985
2021/3/10,6.5,6.571428571,0.449867705,6.052857143,1.338756188,5.612333333,1.56284154
2021/3/11,6.3,6.542857143,0.461364436,6.208571429,1.217979772,5.637333333,1.567800861
2021/3/12,5.9,6.471428571,0.521901286,6.343571429,1.048497879,5.550666667,1.473101194
2021/3/13,5.8,6.228571429,0.319970237,6.457142857,0.870644576,5.434,1.293579903
2021/3/14,5.55,6.121428571,0.406055356,6.532142857,0.721538725,5.362333333,1.221244937
2021/3/15,8.5,6.464285714,0.98518792,6.696428571,0.883712511,5.502,1.331373157
2021/3/16,9.3,6.835714286,1.463077318,6.796428571,1.08636024,5.671666667,1.477369711
2021/3/17,7.7,7.007142857,1.4872874,6.789285714,1.079561622,5.771666667,1.510492232
2021/3/18,7.1,7.121428571,1.454263027,6.832142857,1.079103464,5.858333333,1.509601645
2021/3/19,6.9,7.264285714,1.360365847,6.867857143,1.071951338,5.941666667,1.495257061
2021/3/20,6.7,7.392857143,1.235728048,6.810714286,1.056878308,6.011666667,1.479352336
2021/3/21,6.48,7.525714286,1.03889135,6.823571429,1.051267419,6.076333333,1.455004404
2021/3/22,6.51,7.241428571,0.999373613,6.852857143,1.035147173,6.149333333,1.418323278
2021/3/23,7.6,6.998571429,0.495056514,6.917142857,1.052721225,6.257666667,1.400151921
2021/3/24,7.5,6.97,0.451700491,6.988571429,1.056160369,6.367666667,1.362031149
2021/3/25,7.2,6.984285714,0.458034101,7.052857143,1.038263555,6.471,1.300250241
2021/3/26,7.3,7.041428571,0.470546794,7.152857143,0.984725097,6.569333333,1.244676757
2021/3/27,7.3,7.127142857,0.452279939,7.26,0.904544084,6.675333333,1.161523178
2021/3/28,7.2,7.23,0.351140997,7.377857143,0.760649303,6.781666667,1.049745727
2021/3/29,8.5,7.514285714,0.459813627,7.377857143,0.760649303,6.924666667,0.977024806
2021/3/30,8.3,7.614285714,0.54902511,7.306428571,0.595232432,7.051333333,0.894695993
2021/3/31,8.1,7.7,0.574456265,7.335,0.624459767,7.114666667,0.899588923
2021/4/1,7,7.671428571,0.607492896,7.327857143,0.627916929,7.084666667,0.887420646
