,COD2i
1,2855
2,2877
3,3026
4,3154
5,2513
6,2761
7,2915
8,2841
9,2899
10,2877
11,3002
12,3126
13,3513
14,2244.8
15,2522
16,2751
17,2865
18,2568
19,2714
20,2931
21,2466
22,2201
23,2315
24,2512
25,2682
26,988
27,1337
28,1668
29,1569
30,1779
31,2219
32,2951
33,2514
34,2611
35,3026
36,3289
37,2523
38,1596
39,1842
40,1785
41,2124
42,2352
43,2711
44,2924
45,2139
46,1903
47,2252
48,1997
49,2334
50,2421
51,2789
52,2974
53,2855
54,3910
55,3575
56,3158
57,2953
58,2874
59,3017
60,3174
61,2870
62,2420
63,2675
64,2904
65,2642
66,3002
67,1598
68,2325
69,1980
70,2021
71,2010
72,2220
73,2611
74,2856
75,2799
76,1778
77,1599
78,1563
79,1580
80,1630
81,1863
82,1755
83,2009
84,2533
85,1982
86,1809
87,1908
88,2210
89,2156
90,1980
91,2101
92,1640
93,1887
94,1830
95,1902
96,2321
97,2203
98,1937
99,2022
100,1958
101,2132
102,2390
103,1667
104,1990
105,2316
106,2221
107,2155
108,2331
109,1978
110,2102
111,2230
112,2130
113,1985
114,2054
115,2236
116,6060
117,5509
118,4696
119,1666
120,2531
121,3521
122,2355
123,3261
124,3652
125,5440
126,1227
127,3540
128,3653
129,4326
130,2895
131,3586
132,3154
133,2506
134,3409
135,3542
136,3465
137,2894
138,3266
139,3658
140,3952
141,2098
142,2880
143,2987
144,3540
145,2869
146,2506
147,3152
148,3347
149,2369
150,2655
151,3542
152,3654
153,3333
154,2576
155,3151
156,3742
157,2806
158,3202
159,3512
160,3548
161,2099
162,2556
163,2817
164,3152
165,2654
166,2896
167,3020
168,3540
169,3320
170,3107
171,2952
172,3365
173,2899
174,3062
175,1456
176,3512
177,2843
178,1499
179,3249
180,3125
181,2656
182,2953
183,3542
184,3621
185,1638
186,1556
187,2633
188,3213
189,2985
190,3026
191,3215
192,1808
193,1686
194,2014
195,2846
196,2587
197,2325
198,2465
199,2345
200,2542
201,1648
202,2230
203,2653
204,2861
205,3032
206,2966
207,2895
208,2954
209,1881
210,2003
211,2665
212,2351
213,2652
214,3265
215,3125
216,3025
217,1647.6
218,2017
219,2636
220,3107
221,2866
222,3022
223,2785
224,3215
225,1426
226,2108
227,3305
228,2966
229,2633
230,2769
231,2945
232,1956
233,2418.6
234,1681.4
235,2075
236,2278
237,2585
238,2326
239,2541
240,2650
241,1563.1
242,2044
243,2356
244,2651
245,1585
246,1315
247,1432
248,1521
249,1643
250,1570.4
251,1833
252,2067
253,1979
254,1669
255,1898
256,1953
257,1768
258,1862
259,2126
260,2314
261,2530
262,2580
263,2486
264,2651
265,1665
266,1834
267,2177
268,2236
269,1547
270,1689
271,1865
272,1985
273,1247
274,1631.5
275,1867
276,2114
277,1969
278,1801
279,2012
280,2236
281,1985
282,2103
283,2257
284,1833
285,2030
286,1867
287,2114
288,1969
289,1801
290,2012
291,2236
292,1985
293,2103
294,1752
295,1289
296,2532
297,2654
298,1754
299,1703
300,1561
301,1697
302,1298
303,1509
304,1752
305,1289
306,1557
307,1453
308,1369
309,1531
310,1652
311,1456
312,1565
313,1643
314,1654
315,1565
316,1785
317,1658
318,1756
319,1569
320,1667
321,1893
322,1544
323,1654
324,1756
325,1259
326,1198
327,1432
328,1256
329,1420
330,1599
331,1654
332,1546
333,1397
334,1287
335,1600
336,1569
337,1685
338,1728
339,1865
340,1575
341,1660
342,1464
343,1521
344,1465
345,1572
346,1627
347,1564
348,1621
349,1700
350,1680
351,1752
352,1633
353,1549
354,1528
355,1684
356,1864
357,1487
358,1664
359,1852
360,1542
361,1651
362,1725
363,1877
364,1981
365,1764
366,1799
367,1500
368,1605
369,1659
370,1533
371,1654
372,1754
373,1657
374,1581
375,1523
376,1602
377,1669
378,1752
379,1844
380,1754
381,1550
382,1684
383,1523
384,1752
385,1688
386,1355
387,1564
388,1654
389,1369
390,1465
391,1477
392,1402
393,1436
394,1528
395,1650
396,1541
397,1401
398,1487
399,1521
400,1423
401,1479
402,1526
403,1461
404,1541
405,1405
406,1375
407,1502
408,1562
409,1435
410,1398
411,1454
412,1541
413,1437
414,1389
415,1502
416,1402
417,1469
418,1424
419,1464
420,1397
421,1270
422,1360
423,1422
424,1370
425,1433
426,1520
427,1541
428,1451
429,1495
430,1420
431,1480
432,1421
433,1463
434,1523
435,1454
436,1514
437,1499
438,1533
439,1463
440,1502
441,1423
442,1526
443,1546
444,1465
445,1403
446,1356
447,1398
448,1685
449,1572
450,1624
451,1754
452,2687
453,2058
454,2278
455,2523
456,2359
457,2163
458,2244
459,2451
460,5052
461,3508
462,1690
463,2013
464,2236
465,2487
466,2684
467,3541
468,3214
469,2688
470,2976
471,2312
472,2563
473,2674
474,2219
475,2644
476,2864
477,2250
478,1989
479,1897
480,1589
481,1748
482,2946
483,2544
484,2754
485,1681
486,2684
487,3541
488,3214
489,2688
490,2976
491,2312
492,2563
493,2674
494,2219
495,860
496,1203
497,951
498,456.1
499,587
500,689
501,782
502,782
503,491
