,P,DO
1,49.4,2.9
2,49.4,4.1
3,49.4,4.2
4,49.4,3.1
5,49.4,3.8
6,49.4,3.8
7,49.3,4.7
8,49.3,6.2
9,49.3,6
10,49.2,5.3
11,49.2,4.3
12,49.1,5.9
13,49.1,3.8
14,49.2,4
15,49.1,5.9
16,49.1,4.4
17,49.1,4.6
18,49.1,4.7
19,49.1,3.1
20,49.1,4.6
21,49,5.4
22,49,5.1
23,49,5.3
24,49,4.4
25,49,5
26,48.9,3
27,48.9,5.3
28,48.9,6.1
29,48.9,5.2
30,49.2,4.6
31,49.2,5.7
32,41,5.2
33,29.9,4.5
34,30.6,4.9
35,40.4,4.3
36,38.5,2.7
37,22.4,2.5
38,43.7,4.5
39,52.8,4.2
40,52.5,3.4
41,55.3,3.2
42,56.8,1.5
43,56.7,1.3
44,60.3,2.1
45,58.7,0.4
46,59.6,4.9
47,58.8,4.7
48,57.3,3.5
49,58.7,2.2
50,61.4,2.8
51,63.3,1.5
52,63,2.8
53,59.4,6.3
54,55.9,4.8
55,51.4,5.4
56,53.6,4.3
57,54.1,3.7
58,49.4,2.8
59,49.4,5.1
60,49.4,0.9
61,49.4,4.2
62,49.4,3.5
63,49.4,4.2
64,49.3,5.9
65,49.3,5.9
66,49.3,5.5
67,49.2,5
68,49.2,4.1
69,49.1,5.3
70,49.1,3.9
71,49.2,0
72,49.1,5.1
73,49.1,3.6
74,49.1,3
75,49.1,3.8
76,49.1,3.3
77,49.1,3.3
78,49,5.1
79,49,5.2
80,49,5.3
81,49,5.9
82,49,4.9
83,48.9,5.2
84,48.9,5.5
85,48.9,6
86,48.9,6.3
87,49.2,5.6
88,49.2,5.2
89,41,5.3
90,29.9,4
91,30.6,5.5
92,40.4,6.8
93,38.5,6.8
94,22.4,7
95,43.7,7.3
96,52.8,6.2
97,52.5,4.5
98,55.3,3.3
99,56.8,3.7
100,56.7,4.3
101,60.3,6
102,58.7,2.9
103,59.6,4.1
104,58.8,1
105,57.3,2.8
106,58.7,2.9
107,61.4,4.8
108,63.3,1.3
109,63,2.9
110,59.4,2.6
111,55.9,1.9
112,51.4,1
113,53.6,2.8
114,54.1,3
115,49.2,3.5
116,41,2.9
117,29.9,4.1
118,30.6,4.2
119,40.4,3.1
120,38.5,3.8
121,22.4,3.8
122,43.7,4.7
123,52.8,6.2
124,52.5,6
125,55.3,5.3
126,56.8,4.3
127,56.7,5.9
128,60.3,3.8
129,58.7,4
130,59.6,5.9
131,58.8,4.4
132,57.3,4.6
133,58.7,4.7
134,61.4,3.1
135,63.3,4.6
136,63,5.4
137,59.4,5.1
138,55.9,5.3
139,51.4,4.4
140,53.6,5
141,54.1,3
142,49.4,5.3
143,49.4,6.1
144,49.4,5.2
145,49.4,4.6
146,49.4,5.7
147,49.4,5.2
148,49.3,4.5
149,49.3,4.9
150,49.3,4.3
151,49.2,2.7
152,49.2,2.5
153,49.1,4.5
154,49.1,4.2
155,49.2,3.4
156,49.1,3.2
157,49.1,1.5
158,49.1,1.3
159,49.1,2.1
160,49.1,0.4
161,49.1,4.9
162,49,4.7
163,49,3.5
164,49,2.2
165,49,2.8
166,49,1.5
167,48.9,2.8
168,48.9,6.3
169,48.9,4.8
170,48.9,5.4
171,49.2,4.3
172,49.2,3.7
173,41,2.8
174,29.9,5.1
175,30.6,0.9
176,40.4,4.2
177,38.5,3.5
178,22.4,4.2
179,49.6,5.9
180,49.6,5.9
181,49.6,5.5
182,49.6,5
183,49.6,4.1
184,49.6,5.3
185,49.5,4.3
186,49.6,5.3
187,49.6,4
188,49.6,2.7
189,49.6,4.3
190,49.6,0.2
191,49.6,3
192,49.6,4.4
193,49.6,2.9
194,49.6,4.5
195,49.6,3.3
196,49.6,3.8
197,49.6,1.6
198,49.6,6.5
199,49.6,5.8
200,49.6,6.2
201,49.6,4.3
202,49.6,3
203,49.6,6
204,49.6,6.7
205,49.6,6.5
206,49.6,7
207,49.6,5.7
208,49.6,6.8
209,49.6,6.6
210,49.6,7
211,49.6,7.4
212,49.6,7.7
213,49.6,8
214,49.6,7.9
215,49.5,7.5
216,49.5,7.7
217,49.5,7
218,49.5,4.6
219,49.5,7.3
220,49.5,7.5
221,49.5,7.6
222,49.5,7.4
223,49.5,7.7
224,49.5,7.6
225,49.5,7.4
226,49.5,7.8
227,49.5,5.7
228,49.6,7.2
229,49.5,7.3
230,49.5,6.3
231,49.5,3.8
232,49.5,4.9
233,49.5,3.3
234,49.5,6.4
235,49.5,4.7
236,49.5,3.1
237,49.5,6.2
238,49.5,5.5
239,49.5,3.6
240,49.5,4.9
241,49.5,4.4
242,49.5,3.7
243,49.4,5.3
244,49.4,5.9
245,49.4,3.1
246,49.5,5.5
247,49.5,4.3
248,49.5,6.1
249,49.4,5.5
250,49.4,2.5
251,49.4,5.3
252,49.5,4.4
253,49.4,5.7
254,49.4,2.2
255,49.4,3.1
256,49.5,4.6
257,49.4,3.2
258,49.4,0.6
259,49.4,6.3
260,49.4,6.9
261,49.4,7.2
262,49.4,7.5
263,49.4,7.5
264,49.4,6.3
265,49.4,6.3
266,49.4,5.7
267,49.4,5.8
268,49.3,5
269,49.4,5.4
270,49.4,6.1
271,49.4,4.5
272,49.4,6.6
273,49.4,7
274,49.4,6.3
275,49.4,7.1
276,49.4,8.3
277,49.4,7
278,49.4,7.8
279,49.4,5
280,49.4,7.2
281,49.4,8.1
282,49.4,6.8
283,49.4,6.2
284,49.4,6.7
285,49.3,6.3
286,49.3,6.3
287,49.3,5.2
288,49.2,6.5
289,49.2,6.7
290,49.1,6.7
291,49.1,4.8
292,49.2,3.8
293,49.1,4.9
294,49.1,5.6
295,49.1,5.7
296,49.1,5.6
297,49.1,5.5
298,49.1,4.1
299,49,4.1
300,49,5.9
301,49,3
302,49,4.5
303,49,6.8
304,48.9,6.2
305,48.9,6.7
306,48.9,6.5
307,48.9,6.4
308,49.2,5
309,49.2,5.1
310,41,5
311,29.9,4.5
312,30.6,4.8
313,40.4,1.6
314,38.5,5.5
315,22.4,4.1
316,43.7,4.1
317,52.8,5.9
318,52.5,3
319,55.3,4.5
320,56.8,2.3
321,56.7,2.5
322,60.3,2.5
323,58.7,2.2
