,NH3-N2i,NH3-NO,NH3NMBR
1,158.6,3.1,4.54
2,156.8,3.9,4.65
3,131.7,3.6,4.56
4,123.8,3.4,4.45
5,179.3,3.5,4.31
6,155.8,3.4,4.54
7,163.2,3.1,4.64
8,175.2,3,4.51
9,168.9,4.3,4.23
10,171.5,4.5,4.21
11,155.8,4.6,4.31
12,141.4,4.2,4.21
13,195.6,3.5,4.7
14,97.6,3.7,4.5
15,105.2,3.5,4.4
16,119.5,3.4,4.6
17,120.1,3.2,4.54
18,135.9,2.8,4.32
19,119.4,2.7,4.35
20,141.7,3,4.2
21,121.3,3.1,4.1
22,165.8,2.9,4.35
23,148.2,2.4,4.12
24,158.2,2.2,4.01
25,163.1,2.1,4.21
26,188,2.3,4.5
27,203.8,2.7,6.2
28,120.5,3.1,7.9
29,148.2,2.8,7.8
30,220,2.3,6.5
31,178.5,2.7,6.4
32,149.2,2.5,7.5
33,138.5,2.6,6.3
34,152.5,3.8,6.1
35,176.2,3.5,6.7
36,161.4,3.7,6.5
37,131.5,3.4,6.3
38,121.5,3.6,5.9
39,135.6,3.8,5.8
40,128.6,3.2,5.55
41,139.8,3.6,8.5
42,142.4,3.3,9.3
43,163.8,3.5,7.7
44,179.1,3.1,4.31
45,118.3,3.4,4.21
46,121.4,3.2,4.7
47,137.6,3.5,4.5
48,121.8,3.8,4.4
49,135.2,3.6,4.6
50,139.4,5.2,4.54
51,154.6,5,4.32
52,166.8,5.4,4.35
53,108.9,5.2,4.2
54,110.4,5.6,4.1
55,118.5,8.6,4.35
56,131.2,9.7,4.12
57,139.8,9.8,4.01
58,145.2,10.6,4.21
59,166.1,9.2,4.5
60,154.4,8.7,6.2
61,198.3,7.5,7.9
62,160.3,7.3,7.8
63,177.4,6.7,6.5
64,141.8,5.1,6.4
65,145.9,6.2,7.5
66,152.6,7.3,6.3
67,112.3,7.7,6.1
68,122.1,8,6.7
69,135.3,7.6,6.5
70,159.9,7.3,6.3
71,143.9,8.2,5.9
72,143.5,11.5,5.8
73,151.4,8.6,5.55
74,146.3,10.6,8.5
75,139.6,9.8,9.3
76,121.8,8.7,7.7
77,147.2,8.3,7.1
78,164.2,7.9,6.9
79,154.3,7.5,6.7
80,154.2,6.3,6.48
81,162.4,6,6.51
82,153.6,6,7.6
83,140,6.2,7.5
84,136,5.8,7.2
85,145,6.1,7.3
86,155,6.8,7.3
87,154,6.3,7.2
88,139,7.3,8.5
89,144,7.2,8.3
90,151,7.1,8.1
91,189.5,7.2,7
92,158.6,7.1,7.2
93,166.8,7.2,7.3
94,154.3,6.4,6.8
95,155.6,5.3,6.4
96,178.5,5.9,6.7
97,165.3,6.2,6.5
98,157.2,6.3,6.3
99,162.1,6.2,6.1
100,159.6,6.2,6.2
101,165.4,6.3,6.4
102,139.5,4.9,5.9
103,147.5,4.5,5.6
104,127.5,5.6,7.8
105,156.9,5.3,7.5
106,142.6,4.9,7.2
107,146.5,4.5,6.5
108,155.4,4.8,6
109,188.6,4.7,6.1
110,186.2,4.2,5.6
111,185.3,4.1,5.1
112,178.2,4.2,5.5
113,156.3,5.6,5.7
114,164.8,5.3,5.6
115,177.5,5.1,5.5
116,193.5,5.2,7.5
117,200.8,5.3,7.2
118,188.2,4.8,6.5
119,133.2,4.4,6
120,135.5,5.3,6.1
121,156.6,5.6,5.6
122,178.2,5.8,5.1
123,165.4,6,5.5
124,175.3,5.7,5.7
125,201.5,5.3,5.6
126,150.7,4.8,5.5
127,135.2,5.4,5.6
128,123.2,5.6,5.4
129,201.3,5.3,5.3
130,156.3,5.5,4.3
131,186.2,5.7,5.9
132,163.5,5.6,5.5
133,210.9,5.5,5.3
134,195.7,3.4,5.2
135,178.5,3.1,5.2
136,175.5,2.8,5.3
137,198.3,2.7,6.4
138,159.6,4.3,5.9
139,185.2,4.2,5.6
140,174.3,4.3,7.8
141,201.8,4.1,7.5
142,211.9,4.2,7.2
143,189.2,3.9,6.5
144,198.3,13.2,6
145,156.6,12.8,6.1
146,166.3,8.6,5.6
147,202.3,7.4,5.1
148,214.5,6.8,5.5
149,189.6,6.4,5.7
150,156.3,6.3,5.6
151,132.2,2.2,5.5
152,123.5,1.9,7.5
153,80.9,2.5,7.2
154,117.8,2.4,6.5
155,108.5,2.7,6
156,131.2,2.6,6.1
157,116.6,2.7,5.6
158,156.3,2.3,5.97
159,143.5,3.3,5.95
160,135.3,2.9,5.92
161,100.8,3.2,5.9
162,120.1,3.8,5.87
163,131.9,4.4,5.85
164,142.5,4.7,5.82
165,136.3,4.5,5.8
166,140.6,4.4,5.78
167,155.7,4.2,5.75
168,154.5,3.9,5.73
169,132.7,4.6,5.7
170,122.4,7.8,5.68
171,106.8,8.2,5.66
172,135.6,5.8,5.63
173,126.4,5.4,5.61
174,133.6,5.7,5.58
175,149.6,3.9,5.56
176,143.5,2.8,5.54
177,167.2,2.6,5.51
178,156.6,2.5,5.49
179,163.8,3.1,5.46
180,171.2,2.7,5.44
181,156.3,2.3,5.42
182,121.3,2.2,5.39
183,123.2,2.6,5.37
184,131.2,1.5,5.34
185,150.4,1.6,5.32
186,153.9,1.5,5.3
187,143.2,1.8,5.27
188,161.5,2.1,5.25
189,152.3,1.9,5.22
190,149.6,1.7,5.2
191,146.5,1.8,5.18
192,166.2,2.2,5.15
193,143.9,1.9,5.13
194,150.2,2.6,5.1
195,175.2,5.7,5.08
196,169.2,8.9,5.06
197,156.9,11.4,5.03
198,165.3,3.3,5.01
199,153.5,3.2,4.98
200,142.5,3.2,4.96
201,183.2,3.2,4.94
202,177.8,3.2,4.91
203,186.8,3.1,4.89
204,193.5,3.1,4.86
205,185.3,3.1,4.84
206,179.6,3,4.82
207,158.6,3,4.79
208,163.2,3,4.77
209,180.2,3,4.74
210,155,2.9,4.72
211,178.3,2.9,4.7
212,165.2,2.9,4.67
213,177.6,2.9,4.65
214,168.6,2.8,4.62
215,156.5,2.8,4.6
216,143.3,2.8,4.58
217,125.7,2.7,4.55
218,176.3,2.7,5.49
219,182.4,2.7,5.46
220,196.2,2.7,5.44
221,185.6,2.6,5.42
222,168.9,2.6,5.39
223,156.3,2.6,5.37
224,143.2,2.6,5.34
225,109.1,2.5,5.32
226,200.8,2.5,5.3
227,188.3,2.5,5.27
228,196.7,2.4,5.25
229,178.3,2.4,5.22
230,186.6,2.4,5.56
231,176.2,3.2,5.61
232,365,3,5.65
233,187.3,2.8,5.7
234,208,2.4,5.75
235,193.6,2.3,5.8
236,187.4,3.5,5.84
237,165.3,3.1,5.89
238,206.3,3.2,5.94
239,156.2,2.3,5.98
240,143.4,2.2,6.03
241,211,2,6.08
242,201.2,1.8,6.13
243,223.7,2.1,6.17
244,257.2,1.9,4.96
245,140,2.2,4.94
246,142,2.3,4.91
247,156.1,2.7,4.89
248,132.2,5.4,4.86
249,165.4,5.6,4.84
250,229,9.5,4.82
251,247,3.9,4.79
252,213,4.3,4.77
253,188,3.4,4.74
254,197,3.2,4.72
255,201,3.4,4.7
256,187,3.2,4.67
257,162.7,3.1,4.65
258,178.5,3.6,4.62
259,221.3,3.2,4.6
260,243.6,3.5,4.58
261,253.2,3.1,4.55
262,176.9,3.2,5.49
263,263.1,3.8,5.46
264,178.2,4.2,4.6
265,142,3.5,4.54
266,157.2,3.3,4.32
267,183.6,3,4.35
268,215.7,3.2,4.2
269,135,3.7,4.1
270,178.6,3.2,4.35
271,188.3,3.3,4.12
272,135.1,6.2,4.01
273,141.3,5.5,4.21
274,154.7,5.8,4.5
275,167.2,4.6,6.2
276,188.7,3.9,7.9
277,200.3,6.7,7.8
278,178,6.1,6.5
279,176.2,5.9,6.4
280,156.3,5.6,4.24
281,132.2,5.2,4.54
282,144.3,5.8,4.65
283,161.7,4.2,4.56
284,170.2,3.8,4.45
285,155,3.4,4.31
286,155.6571429,3.6,4.54
287,155.4321429,4.5,4.64
288,155.2071429,4.4,4.51
289,154.9821429,3.8,4.23
290,154.7571429,3.4,4.21
291,154.5321429,3.1,4.31
292,154.3071429,3.2,4.21
293,154.0821429,3.3,4.275769231
294,153.8571429,3.2,4.255824176
295,153.6321429,3.1,4.235879121
296,142.3,2.6,4.215934066
297,131.2,2.5,4.195989011
298,108,2.8,4.176043956
299,175,3.6,4.156098901
300,172,3.5,4.136153846
301,188,3.2,4.116208791
302,140,3.9,4.096263736
303,153,7.8,4.076318681
304,143,8,4.056373626
305,164,7.7,4.036428571
306,128,8.2,4.016483516
307,154,5.4,4.8
308,177,5.21,4.24
309,153,5.35,4.54
310,123,5.25,4.65
311,133,5.12,4.56
312,129,5.21,4.45
313,137,5.63,4.31
314,156,5.2,4.54
315,143,5.31,4.64
316,135,5.45,4.51
317,155,5.21,4.23
318,123,5.3,4.21
319,132,5.34,4.31
320,142,5.21,4.21
321,166,5.2,4.7
322,129,5.1,4.5
323,154,5.2,4.4
324,135,5.08,4.6
325,145,4.98,4.54
326,166,4.51,4.32
327,159,4.21,4.35
328,146,4.3,4.2
329,172,4.2,4.1
330,144,4.21,4.35
331,123,4.32,4.12
332,154,4.21,4.01
333,178,4.32,4.21
334,164,5.02,4.5
335,153,6.7,6.2
336,149,8.5,7.9
337,162,8.8,7.8
338,152,7.4,6.5
339,175,7.3,6.4
340,168,7.9,7.5
341,187,7.3,6.3
342,157,7.6,6.1
343,145,6.8,6.7
344,142,7.1,6.5
345,153,6.9,6.3
346,165,6.5,5.9
347,154,6.2,5.8
348,145,7.51,5.55
349,153,8.9,8.5
350,149,9.5,9.3
351,156,8.1,7.7
352,151,7.9,7.1
353,147,7.7,6.9
354,149,7.3,6.7
355,154,7.21,6.48
356,135,7.31,6.51
357,140,8.3,7.6
358,145,7.8,7.5
359,135,7.2,8.8
360,141,8.9,8.9
361,146,8.5,7.8
362,153,7.8,7.1
363,143,7.7,7.2
364,153,7.6,7.3
365,149,7.1,7.3
366,163,7.3,7.2
367,150,8.9,8.5
368,159,8.2,8.3
369,164,7.9,8.1
370,176,7.6,7
371,156,7.72,7.2
372,177,7.5,7.3
373,165,7.6,6.8
374,184,7.01,6.4
375,163,6.9,6.7
376,171,6.8,6.5
377,184,6.5,6.3
378,177,6.7,6.1
379,164,6.4,6.2
380,184,6.5,6.4
381,160,5.7,5.9
382,175,6.52,5.6
383,165,8.6,7.8
384,155,7.6,7.5
385,167,7.4,7.2
386,88,6.7,6.5
387,124,6.3,6
388,135,6.2,6.1
389,120,5.8,5.6
390,171,5.37,5.1
391,228,5.99,5.5
392,201,6.3,5.7
393,217,6.2,5.6
394,185,5.9,5.5
395,195,5.8,5.6
396,175,5.7,5.4
397,166,5.5,5.3
398,147,4.7,4.3
399,151,6.1,5.9
400,142,5.6,5.5
401,146,5.5,5.3
402,153,5.7,5.2
403,143,5.3,5.2
404,154,5.4,5.3
405,146,4.7,4.9
406,150,4.2,3.7
407,142,4.6,4.2
408,149,4.5,4.1
409,156,4.4,4
410,145,4.2,3.7
411,152,4.1,3.4
412,164,4.3,3.6
413,148,3.4,3.1
414,150,3.3,3
415,142,3.5,3
416,149,2.9,2.8
417,144,3.1,2.7
418,158,3.3,2.9
419,164,3.5,2.8
420,150,3.2,2.7
421,138,3,2.5
422,152,2.8,2.1
423,143,2.9,2.6
424,139,2.8,2.5
425,142,2.8,2.5
426,153,2.6,2.5
427,162,2.4,2.5
428,151,2.3,2.5
429,146,2.1,1.7
430,134,2,1.6
431,139,2.3,2.1
432,135,2.1,2
433,142,2.1,1.8
434,151,2,1.7
435,134,2.1,1.9
436,142,2.3,1.8
437,164,2.1,1.7
438,150,2,1.5
439,156,2.3,1.8
440,149,2.2,1.6
441,141,2.1,1.7
442,154,2,1.7
443,146,2.2,1.7
444,151,2.1,1.8
445,131,2,1.5
446,167,1.9,1.4
447,152,2.7,2.6
448,149,6.3,2.5
449,156,6.1,2.7
450,163,6.2,2.8
451,145,5.8,2.6
452,454,6.1,2.4
453,398,6.8,2.7
454,346,6.3,2.9
455,298,7.3,3.5
456,306,7.2,3.2
457,314,7.1,3.1
458,295,7.2,3.1
459,284,7.1,3.2
460,451,7.2,3.1
461,390,6.4,4.4
462,187,5.3,3.6
463,258,5.9,3.9
464,198,6.2,3.1
465,204,6.3,3.2
466,236,6.2,3.1
467,354,6.2,3.1
468,378,6.3,3.2
469,291,4.9,3.4
470,264,4.5,3.2
471,232,5.6,3.7
472,251,5.3,4.2
473,263,4.9,4
474,246,4.5,3.6
475,235,4.8,3.5
476,245,4.7,3.7
477,271,4.2,3.5
478,260,4.1,3.3
479,242,4.2,3.2
480,301,5.6,2.9
481,275,5.3,2.8
482,192.1,5.1,2.2
483,215,5.2,2.4
484,246,5.3,2.3
485,267,4.8,2.8
486,246,4.4,4.2
487,235,5.3,3.8
488,245,5.6,3.6
489,271,5.8,3.3
490,260,6,3.7
491,242,5.7,3.4
492,301,5.3,2.3
493,136,4.8,2.6
494,136,5.4,3.2
495,78.2,5.6,2.5
496,92.3,5.3,2.8
497,80.6,5.5,3.7
498,165.9,5.7,3.2
499,98.2,5.6,3.1
500,105.1,5.5,3.2
501,136,5,2.8
502,136,4.3,2.5
503,137,3.1,2.3
504,146,3.9,2.2
505,152,3.6,2.8
506,162,3.4,2.4
507,135,3.5,2.3
508,124,3.4,2.4
509,143,3.1,2.2
510,186,3,2.5
511,116,4.3,2.5
512,126,4.5,2.2
513,137,4.6,2.2
514,158,4.2,2.1
515,180,3.5,1.6
516,155,3.7,2.2
517,153,3.5,1.4
518,147,3.4,1.2
519,152,3.2,1.3
520,166,2.8,1.6
521,158,2.7,1.6
522,145,3,1.5
523,178,3.1,1.3
524,184,2.9,1.5
525,143,2.4,1.4
526,165,2.2,1.1
527,156,2.1,1.2
528,103,2.3,1.6
529,125,2.7,1.3
530,133,3.1,1.7
531,112,2.8,1.6
532,104,2.3,1.5
533,124,2.7,1.7
534,87,2.5,1.4
535,113,2.6,1.3
536,135,3.8,1.7
537,124,3.5,1.6
538,141,3.7,1.8
539,128,3.4,1.5
540,89,3.6,1.9
541,107,3.8,1.8
542,80,3.2,1.6
543,112,3.6,2.5
544,84,3.3,2.5
545,98,3.5,2.3
546,103,3.1,2.2
547,133,3.4,2.2
548,113,3.2,2.1
549,97,3.5,2.3
550,102,3.8,2.7
551,85,3.6,2.5
552,240,5.2,3.4
553,196,5,3.1
554,185,5.4,2.9
555,86,5.2,2.6
556,97,5.6,2.4
557,133,8.6,3.5
558,219,9.7,6.9
559,169,9.8,7.2
560,156,10.6,7.8
561,172,9.2,7.3
562,188,8.7,7.1
563,158,7.5,3.8
564,165,7.3,3.1
565,177,6.7,3.8
566,112,5.1,3.2
567,152,6.2,3.5
568,132,7.3,4.6
569,140,7.7,4.4
570,156,8,4.7
571,147,7.6,3.4
572,186,7.3,3.9
573,192,8.2,7.4
574,229,11.5,9
575,97,8.6,3.6
576,150,10.6,8.2
577,173,9.8,8.4
578,183,8.7,6.4
579,145,8.3,5.3
580,153,7.9,3.1
581,126,7.5,3.2
582,135,6.3,3.6
583,158,6,3.4
584,146,6.5,4.2
585,168,6.2,4
586,177,6.7,2.3
587,155,6.3,2.5
588,194,5.4,2.9
589,309,11.3,4.5
590,91,15.2,12.6
591,120,22.3,17.9
592,187,22.9,10.8
