,pH2i,pHO,pHMBR
1,8.1,7.6,7.8
2,8.2,7.6,7.9
3,8.2,7.6,8
4,8.2,7.6,6.4
5,8.1,7.7,6.7
6,8.1,7.7,6.6
7,8.1,7.6,6.8
8,8.1,7.6,7.2
9,8.1,7.6,7
10,8.1,7.6,6.9
11,8.2,7.6,6.8
12,8.2,7.6,6.8
13,8.3,7.6,6.7
14,8.1,7.7,6.8
15,8.1,7.7,7
16,8.1,7.7,6.8
17,8.1,7.7,7
18,8.1,7.7,7
19,8.2,7.7,6.9
20,8.2,7.7,7
21,8,7.7,7
22,8,7.7,7
23,8,7.7,7.1
24,8,7.7,7.3
25,8,7.7,7.4
26,8.8,7.7,7.2
27,8.8,7.7,7.3
28,8.7,7.7,6.9
29,8.7,7.7,6.8
30,8.6,7.7,6.9
31,8.5,7.6,7.2
32,8.5,7.9,7.4
33,8.5,8,7.4
34,8.5,8,7.4
35,8.5,8,7.5
36,8.6,8,7.4
37,8.6,8,7.4
38,8.5,8,7.6
39,8.5,7.8,7.7
40,8.5,8.1,7.6
41,8.5,8.2,7.7
42,8.5,8.2,7.6
43,8.6,8.2,7.7
44,8.6,8.2,7.7
45,8.5,8.2,7.7
46,8.4,8.1,7.8
47,8.4,7.9,7.8
48,8.4,8.2,7.8
49,8.4,8.3,7.8
50,8.4,8.3,7.6
51,8.5,8.3,7.7
52,8.5,8.3,7.7
53,8.4,8.2,7.9
54,8.4,8.2,7.9
55,8.4,8.2,7.5
56,8.4,8.4,7.7
57,8.4,8.4,7.7
58,8.4,8.4,7.7
59,8.5,8.4,7.8
60,8.5,8.4,7.3
61,8.4,8.4,7.3
62,8.3,8.2,7.3
63,8.3,8.2,7.4
64,8.3,8.2,7.4
65,8.3,8.4,7.5
66,8.3,8.3,7.5
67,8.2,8.3,7.5
68,8.2,8.3,7.6
69,8.2,8.3,7.6
70,8.2,8.2,7.6
71,8.3,8.2,7.6
72,8.3,8.4,7.6
73,8.3,8.4,7.6
74,8.3,8.4,7.7
75,8.3,8.2,7.7
76,8.2,8.2,7.6
77,8.2,8.2,7.6
78,8.2,8.2,7.6
79,8.2,8.2,7.6
80,8.2,8.5,7.6
81,8.2,8.5,7.6
82,8.2,8.3,7.6
83,8.2,8.4,7.7
84,8.3,8.4,7.7
85,8.2,8.4,7.7
86,8.2,8.3,7.7
87,8.2,8.2,7.7
88,8.3,8,7
89,8.2,8.1,7.6
90,8.2,7.9,7.6
91,8.2,8.2,7.6
92,8.2,8.2,7.7
93,8.1,8.2,7.7
94,8.1,8.2,7.7
95,8.1,8.3,7.7
96,8.2,8.4,7.7
97,8.2,8.4,7.7
98,8.1,8.3,7.7
99,8.1,8.2,7.7
100,8.1,8.2,7.6
101,8.1,8.2,7.9
102,8,8.3,8
103,8,8.3,8
104,8,8.3,8
105,8,8.3,8
106,8,8.2,8
107,8,8.2,8
108,8,8.2,7.8
109,8,8.2,8.1
110,8.1,8.2,8.2
111,8,8,8.2
112,8.1,8,8.2
113,8.1,8,8.2
114,8.1,8.1,8.2
115,8.1,8,8.1
116,8.1,8,7.9
117,8,8,8.2
118,7.9,7.9,8.3
119,8,7.8,8.3
120,8.1,7.7,8.3
121,8.1,7.1,8.3
122,8.2,7.2,8.2
123,8.1,6.7,8.2
124,8.1,6.5,8.2
125,8,6.5,8.4
126,8.2,6.3,8.4
127,8.1,6.4,8.4
128,8.1,6.4,8.4
129,8.1,6.5,8.4
